Algorithm,Array Size,Input Type,Avg Time (seconds),Avg Comparisons,Avg Swaps
Bubble Sort,200,Sorted,0.000029,19900,0
Selection Sort,200,Sorted,0.000026,19900,199
Insertion Sort,200,Sorted,0.000001,199,0
Quick Sort,200,Sorted,0.000033,20298,199
Merge Sort,200,Sorted,0.000008,844,1576
Bubble Sort,200,Reversed,0.000072,19900,19900
Selection Sort,200,Reversed,0.000030,19900,199
Insertion Sort,200,Reversed,0.000048,20099,19900
Quick Sort,200,Reversed,0.000030,20298,199
Merge Sort,200,Reversed,0.000008,732,1576
Bubble Sort,200,Random,0.000081,19900,10130
Selection Sort,200,Random,0.000032,19900,199
Insertion Sort,200,Random,0.000023,9561,9362
Quick Sort,200,Random,0.000010,1825,369
Merge Sort,200,Random,0.000013,1325,1576
Bubble Sort,400,Sorted,0.000106,79800,0
Selection Sort,400,Sorted,0.000093,79800,399
Insertion Sort,400,Sorted,0.000001,399,0
Quick Sort,400,Sorted,0.000112,80598,399
Merge Sort,400,Sorted,0.000017,1888,3552
Bubble Sort,400,Reversed,0.000264,79800,79800
Selection Sort,400,Reversed,0.000118,79800,399
Insertion Sort,400,Reversed,0.000182,80199,79800
Quick Sort,400,Reversed,0.000118,80598,399
Merge Sort,400,Reversed,0.000017,1664,3552
Bubble Sort,400,Random,0.000270,79800,40379
Selection Sort,400,Random,0.000114,79800,399
Insertion Sort,400,Random,0.000093,40053,39654
Quick Sort,400,Random,0.000022,4063,844
Merge Sort,400,Random,0.000030,3043,3552
Bubble Sort,600,Sorted,0.000254,179700,0
Selection Sort,600,Sorted,0.000223,179700,599
Insertion Sort,600,Sorted,0.000001,599,0
Quick Sort,600,Sorted,0.000237,180898,599
Merge Sort,600,Sorted,0.000028,3132,5792
Bubble Sort,600,Reversed,0.000639,179700,179700
Selection Sort,600,Reversed,0.000275,179700,599
Insertion Sort,600,Reversed,0.000417,180299,179700
Quick Sort,600,Reversed,0.000237,180898,599
Merge Sort,600,Reversed,0.000027,2660,5792
Bubble Sort,600,Random,0.000597,179700,89353
Selection Sort,600,Random,0.000249,179700,599
Insertion Sort,600,Random,0.000212,91246,90647
Quick Sort,600,Random,0.000035,6812,1344
Merge Sort,600,Random,0.000047,5035,5792
Bubble Sort,800,Sorted,0.000430,319600,0
